SPOL,IZOBRAZBA,2011 Zaposleni,2011 Brezposelni,2012 Zaposleni,2012 Brezposelni,2013 Zaposleni,2013 Brezposelni,2014 Zaposleni,2014 Brezposelni,2015 Zaposleni,2015 Brezposelni,2016 Zaposleni,2016 Brezposelni,2017 Zaposleni,2017 Brezposelni,2018 Zaposleni,2018 Brezposelni,2019 Zaposleni,2019 Brezposelni,2020 Zaposleni,2020 Brezposelni,2021 Zaposleni,2021 Brezposelni,2022 Zaposleni,2022 Brezposelni
Spol - SKUPAJ,Izobrazba - SKUPAJ,835776,108793,824636,114166,803082,119307,800018,125900,816383,121102,827596,114222,851848,101816,875484,87657,899776,81104,911111,79636,917009,92883,930965,72568
Spol - SKUPAJ,Osnovnošolska ali manj - Skupaj,121766,30186,107067,29816,95233,28009,90280,28049,86912,26218,81948,23956,79048,21763,77109,18804,76347,17482,76812,17068,80951,18070,79937,15268
Spol - SKUPAJ,Brez izobrazbe,105,23,80,51,72,18,67,13,107,7,82,7,81,5,68,5,71,4,152,5,163,5,138,4
Spol - SKUPAJ,Nepopolna osnovnošolska,13413,154,10806,817,8753,128,8000,252,7499,412,6499,600,6079,718,5657,731,5610,730,6213,797,7218,945,7471,979
Spol - SKUPAJ,Osnovnošolska,108248,30009,96181,28948,86408,27863,82213,27784,79306,25799,75367,23349,72888,21040,71384,18068,70666,16748,70447,16266,73570,17120,72328,14285
Spol - SKUPAJ,Srednješolska - Skupaj,488562,65609,479805,68323,469236,73241,461369,76581,470141,73592,475298,68930,482711,59835,495011,51703,508315,48126,511725,47829,507689,56976,512125,43610
Spol - SKUPAJ,Nižja poklicna,6491,2427,7088,2385,7312,2889,7865,3065,8390,3233,9180,3185,10250,2965,11283,2675,12778,2476,13644,2513,14314,2732,14764,2242
Spol - SKUPAJ,Srednja poklicna,202205,28627,197279,30059,187269,32332,183307,32136,182951,30228,181507,28062,183204,24613,184322,21209,188375,19594,189588,19466,188366,22421,187506,17447
Spol - SKUPAJ,"Srednja strokovna, srednja splošna",279866,34555,275438,35879,274655,38020,270197,41380,278800,40131,284611,37683,289257,32257,299406,27819,307162,26056,308493,25850,305009,31823,309855,23921
Spol - SKUPAJ,"Višješolska, visokošolska - Skupaj",225448,12998,237764,16027,238613,18057,248369,21270,259330,21292,270350,21336,290089,20218,303364,17150,315114,15496,322574,14739,328369,17837,338903,13690
Spol - SKUPAJ,"Višješolska (prejšnja), višja strokovna",50936,3728,53071,4345,51657,4700,52963,5197,54095,4801,54478,4711,55045,4214,56155,3724,56946,3467,57216,3406,57864,4266,59509,3212
Spol - SKUPAJ,"Visokošolska 1. stopnje, visokošolska strokovna (prejšnja) ipd.",48393,2979,41656,2534,44006,3280,51368,4902,56120,5383,61675,5559,70372,5432,75847,4732,80548,4376,84035,4367,89188,5432,96212,4205
Spol - SKUPAJ,"Visokošolska 2. stopnje, visokošolska univerzitetna (prejšnja) ipd.",108161,5861,121288,8537,121123,9285,120887,10295,125156,10250,129074,10131,136135,9615,141910,7932,147229,6935,150538,6314,150951,7386,153364,5646
Spol - SKUPAJ,Magisterij znanosti ipd.,11937,335,14367,481,14466,580,15194,624,15550,602,16116,644,18768,661,19155,551,19719,507,19789,477,19125,551,18430,445
Spol - SKUPAJ,Doktorat znanosti,6021,95,7382,130,7361,212,7957,252,8409,256,9007,291,9769,296,10297,211,10672,211,10996,175,11241,202,11388,182
